시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
평택시,홍원3지구,Hongwon 3-jigu,214000997,48019,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0108333000,126.8666667000
평택시,홍원4지구(종점),Hongwon 4-jigu (Bus Terminal),214000977,48334,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0217333000,126.8751833000
평택시,홍원5리,Hongwon 5-ri ,214001386,48431,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0128167000,126.8673000000
평택시,홍원5리,Hongwon 5-ri ,214000983,15047,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0126500000,126.8672167000
평택시,홍원5리,Hongwon 5-ri,214000079,15046,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0127000000,126.8672000000
평택시,홍원초교,Hongwon Elementary School ,214000077,15078,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0117167000,126.8877500000
평택시,홍원초교,Hongwon Elementary School ,214000973,15076,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0118167000,126.8877833000
평택시,화촌,Hwachon,214000656,15628,노변정류장,경기도 평택시,경기도 평택시 통복동,36.9939167000,127.0747333000
평택시,화촌,Hwachon,214000662,15625,노변정류장,경기도 평택시,경기도 평택시 통복동,36.9937667000,127.0757333000
평택시,황산2리,Hwangsan 2-ri ,214001374,15991,노변정류장,경기도 평택시,경기도 평택시 현덕면,36.9588000000,126.9307000000
평택시,황산2리,Hwangsan 2-ri,214001414,15989,노변정류장,경기도 평택시,경기도 평택시 현덕면,36.9586833000,126.9304500000
평택시,황산3리.덕목1리,"Hwangsan 3-ri, Deokmok 1-ri ",214001375,15988,노변정류장,경기도 평택시,,36.9543000000,126.9366833000
평택시,황산3리.덕목1리,"Hwangsan 3-ri, Deokmok 1-ri ",214001413,15992,노변정류장,경기도 평택시,,36.9542333000,126.9364333000
평택시,회화리,Hoehwa-ri,214000841,48292,노변정류장,경기도 평택시,경기도 평택시 서탄면,37.0960000000,127.0265333000
평택시,회화리,Hoehwa-ri,214001947,15791,노변정류장,경기도 평택시,경기도 평택시 서탄면,37.1058000000,127.0312833000
평택시,회화리,Hoehwa-ri,214001948,15793,노변정류장,경기도 평택시,경기도 평택시 서탄면,37.1055000000,127.0314333000
평택시,효명중고등학교,Hyomyeong Middle & High School,214000617,15500,노변정류장,경기도 평택시,경기도 평택시 이충동,37.0495667000,127.0570167000
평택시,효명중고등학교,Hyomyeong Middle & High School,214000609,15495,노변정류장,경기도 평택시,경기도 평택시 이충동,37.0495167000,127.0569000000
평택시,효성백년가약,Hyosung Baekyeongayak Apt. ,214001572,48609,노변정류장,경기도 평택시,경기도 평택시 비전동,37.0018000000,127.1067667000
평택시,효성백년가약,Hyosung Baekyeongayak Apt. ,214001573,48610,노변정류장,경기도 평택시,경기도 평택시 비전동,37.0016667000,127.1067667000
평택시,효성아파트2단지앞,Hyosung Apartment 2-danji,214001584,48625,노변정류장,경기도 평택시,경기도 평택시 비전동,37.0007000000,127.1091500000
평택시,효성아파트2단지앞,Hyosung Apartment 2-danji,214001583,48624,노변정류장,경기도 평택시,경기도 평택시 비전동,37.0009167000,127.1089833000
평택시,후문상회,Humun Market,214001709,15101,노변정류장,경기도 평택시,경기도 평택시 서정동,37.0760333000,127.0414500000
평택시,후문상회,Humun Market,214001708,15081,노변정류장,경기도 평택시,경기도 평택시 서정동,37.0761000000,127.0414333000
평택시,후사1리,Husa 1-ri,214001220,48226,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0244167000,126.9431000000
평택시,후사1리,Husa 1-ri,214001689,48341,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0231500000,126.9366167000
평택시,후사1리,Husa 1-ri,214001291,48003,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0233833000,126.9367833000
평택시,후사1리마을입구,Husa 1-ri ,214001680,48732,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0298500000,126.9396667000
평택시,후사1리앞,Husa 1-ri,214000108,48099,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0236000000,126.9432333000
평택시,후사2리,Husa 2-ri,214000103,48274,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0363167000,126.9365167000
평택시,후사2리앞,Husa 2-ri  ,214002006,48590,,경기도 평택시,,37.0360167000,126.9368500000
평택시,후암리,Huam-ri,214001163,48060,노변정류장,경기도 평택시,경기도 평택시 서탄면,37.1194667000,127.0324167000
